DiseaseName	Regulator	Target	RegulationDiretion	Experimental.method.for.lncRNA.target	ExpressionPattern	Experimental.method.for.lncRNA.expression	Data.accession	Data.accession2	influencedFunction	regulatoryMechanism	regulatoryType	levelOfRegulation	Drugs	cancerStemCell	hallmark	diseaseCategory	DiseaseName2	RegulatorType	TargetType	RegulatorEnsembleID	lncRegulatorPosition	TargetEnsembleID	lncTargetPosition	RegulatorEntrezID	TargetEntrezID	RegulatorAliases	TargetAliases	Evidence	PubMedID	RID	SearchregulatoryMechanism
Chronic lymphocytic leukemia	MIAT	POU5F1	positively-E	RNAi	upregulation	qPCR	NA	NA	cell survival(+)	NA	regulation	NA	NA	NA	Self Sufficiency in Growth Signals;Evading Apoptosis	Cancer	Leukemia	lncRNA	TF	ENSG00000225783	GRCh38_22:26646411-26676475	ENSG00000204531	NA	440823	5460	C22orf35|GOMAFU|LINC00066|NCRNA00066|RNCR2|lncRNA-MIAT	OCT3|OCT4|OTF-3|OTF3|OTF4|Oct-3|Oct-4	Upregulation of long noncoding RNA MIAT in aggressive form of chronic lymphocytic leukemias.Sattari et al. found that MIAT is upregulated in aggressive forms of chronic lymphocytic leukaemia (CLL). The study also revealed that MIAT is involved in a positive regulatory feedback loop with Oct4, as suppression of one led to reduced expression of the other Furthermore, we show that MIAT constitutes a regulatory loop with OCT4 in malignant mature B cell, as was previously reported in mouse pulripotent stem cell, and that both molecules are essential for cell survival.	27527866;29685978	RID02721	expression association
Lung adenocarcinoma	CRNDE	EZH2	interact	RIP;ChIP	upregulation	qPCR	NA	NA	radioresistance(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	NA	Cancer	Lung cancer	lncRNA	PCG	ENSG00000245694	GRCh38_16:54845189-54929189	ENSG00000106462	NA	NA	2146	CRNDEP|LINC00180|NCRNA00180|PNAS-108|lincIRX5	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	Long Noncoding RNA CRNDE/PRC2 Participated in the Radiotherapy Resistance of Human Lung Adenocarcinoma Through Targeting p21 Expression;the mechanistic investigations showed that CRNDE could interact with PRC2 and recruit its core component EZH2 to p21 (CDKN1A) promoter regions and repress its transcription;	28550688	RID02722	interact with protein
Cholangiocarcinoma	SNHG1	EZH2	interact	RIP;RNA pull-down assay	upregulation	qPCR;microarray	GSE76297	GSE76297.zip	cell proliferation(+);cell migration(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Cholangiocarcinoma	lncRNA	PCG	ENSG00000255717	GRCh38_11:62851984-62855953	ENSG00000106462	NA	23642	2146	LINC00057|NCRNA00057|U22HG|UHG|lncRNA16	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	Epigenetic silencing of tumor suppressor gene CDKN1A by oncogenic long non-coding RNA SNHG1 in cholangiocarcinoma;SNHG1 bound to the histone methyltransferase enhancer of the zeste homolog 2 (EZH2, which is regarded as the catalytic subunit of the polycomb repressive complex 2 (PRC2), which is an extremely conserved protein complex regulating gene expression with the help of methylating lysine 27 on histone H3), specifying the histone alteration pattern on the target genes, including CDKN1A;SNHG1 knockdown extensively inhibited CCA cell migration as well as proliferation in vitro and in vivo	29970899	RID02723	interact with protein
Cholangiocarcinoma	PVT1	EZH2	interact	RIP	upregulation	qPCR;microarray	GSE26566	GSE26566.zip	cell proliferation(+);cell migration(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Cholangiocarcinoma	lncRNA	PCG	ENSG00000249859	GRCh38_8:127794526-128187101	ENSG00000106462	NA	5820	2146	LINC00079|MIR1204HG|NCRNA00079|onco-lncRNA-100	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	Long Non-coding RNA PVT1 Promotes Cell proliferation and Migration by Silencing ANGPTL4 Expression in Cholangiocarcinoma. RNA immunoprecipitation (RIP) analysis demonstrated that, by binding to epigenetic modification complexes (PRC2), PVT1 could adjust the histone methylation of the promoter of ANGPTL4 (angiopoietin-like 4) and, thus, promote cell growth,migration, and apoptosis progression.PVT1 Binds with EZH2 to Coregulate Target Genes, Especially ANGPTL4.	30388624	RID02724	interact with protein
Colorectal cancer	SNHG1	EZH2	interact	RIP;ChIP;RNA pull-down assay	upregulation	qPCR;microarray	GSE9348;GSE8671;GSE29621	GSE9348.zip;GSE8671.zip;GSE29621.zip	cell growth(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals	Cancer	Colorectal cancer	lncRNA	PCG	ENSG00000255717	GRCh38_11:62851984-62855953	ENSG00000106462	NA	23642	2146	LINC00057|NCRNA00057|U22HG|UHG|lncRNA16	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	The long noncoding RNA SNHG1 regulates colorectal cancer cell growth through interactions with EZH2 and miR-154-5p.Mechanistic investigations demonstrated that SNHG1 could directly interact with Polycomb Repressive Complex 2 (PRC2) and modulate the histone methylation of promoter of Kruppel like factor 2 (KLF2) and Cyclin dependent kinase inhibitor 2B (CDKN2B) in the nucleus. SNHG1 knockdown significantly repressed colorectal cancer cells growth both in vitro and in vivo.	30266084	RID02725	interact with protein
Colorectal cancer	CRNDE	EZH2	interact	RIP;ChIP	upregulation	qPCR	NA	NA	cell proliferation(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Colorectal cancer	lncRNA	PCG	ENSG00000245694	GRCh38_16:54845189-54929189	ENSG00000106462	NA	NA	2146	CRNDEP|LINC00180|NCRNA00180|PNAS-108|lincIRX5	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	Long noncoding RNA CRNDE promotes colorectal cancer cell proliferation via epigenetically silencing DUSP5/CDKN1A expression;RNA immunoprecipitation and chromatin immunoprecipitation assays demonstrated that lncRNA CRNDE could epigenetically suppress the expressions of dual-specificity phosphatase 5 (DUSP5) and CDKN1A by binding to EZH2 (the key components of Polycomb repressive complex 2 (PRC2)), thus promoting CRC development	28796262	RID02726	interact with protein
Hepatocellular carcinoma	TUG1	EZH2	interact	RIP;ChIP	upregulation	qPCR	NA	NA	cell growth(+);apoptosis process(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals;Evading Apoptosis	Cancer	Liver cancer	lncRNA	PCG	ENSG00000253352	GRCh38_22:30969245-30979395	ENSG00000106462	NA	55000	2146	LINC00080|NCRNA00080|TI-227H	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	Long non-coding RNA TUG1 is up-regulated in hepatocellular carcinoma and promotes cell growth and apoptosis by epigenetically silencing of KLF2.We also found that TUG1 overexpression was induced by nuclear transcription factor SP1 and TUG1 could epigeneticly repress Kruppel-like factor 2 (KLF2) transcription in HCC cells by binding with PRC2 and recruiting it to KLF2 promoter region.RIP with rabbit monoclonal anti-EZH2, anti-SUZ12, anti-SNRNP70 and preimmune IgG from HepG2 and Hep3B cell extracts. RNA levels in immunoprecipitates were determined by qPCR. Expression levels of TUG1 RNA were presented as fold enrichment in EZH2 and SUZ12 relative to IgG immunoprecipitates.	26336870	RID02727	interact with protein
Hepatocellular carcinoma	TUG1	SUZ12	interact	RIP;ChIP	upregulation	qPCR	NA	NA	cell growth(+);apoptosis process(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals;Evading Apoptosis	Cancer	Liver cancer	lncRNA	PCG	ENSG00000253352	GRCh38_22:30969245-30979395	ENSG00000178691	NA	55000	23512	LINC00080|NCRNA00080|TI-227H	CHET9|JJAZ1	Long non-coding RNA TUG1 is up-regulated in hepatocellular carcinoma and promotes cell growth and apoptosis by epigenetically silencing of KLF2.We also found that TUG1 overexpression was induced by nuclear transcription factor SP1 and TUG1 could epigeneticly repress Kruppel-like factor 2 (KLF2) transcription in HCC cells by binding with PRC2 and recruiting it to KLF2 promoter region.RIP with rabbit monoclonal anti-EZH2, anti-SUZ12, anti-SNRNP70 and preimmune IgG from HepG2 and Hep3B cell extracts. RNA levels in immunoprecipitates were determined by qPCR. Expression levels of TUG1 RNA were presented as fold enrichment in EZH2 and SUZ12 relative to IgG immunoprecipitates.	26336870	RID02728	interact with protein
Non-small cell lung cancer	LUCAT1	EZH2	interact	ChIP	upregulation	qPCR	NA	NA	cell proliferation(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Lung cancer	lncRNA	PCG	ENSG00000248323	GRCh38_5:91054834-91314547	ENSG00000106462	NA	100505994	2146	SCAL1|SCAT5	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	Long non-coding RNA LUCAT1 is associated with poor prognosis in human non-small lung cancer and regulates cell proliferation via epigenetically repressing p21 and p57 expression.we found that the expression of LUCAT1 was significantly up-regulated in NSCLC tissues compared to non-tumor tissues.We further demonstrated that LUCAT1 was associated with polycomb repressor complexes (PRC2) and that this association was required for epigenetically repression of p21 and p57, thus contributing to the regulation of NSCLC cell cycle and proliferation.LUCAT1 functions as a tumor activator by epigenetically regulating p21 and p57 expression which are required to target EZH2 occupancy.	28423699	RID02729	interact with protein
Esophagus squamous cell carcinoma	CCAT1	EZH2	interact	RNA pull-down assay;ChIP	upregulation	qPCR	NA	NA	cell proliferation(+);cell migration(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Esophageal cancer	lncRNA	PCG	NA	GRCh38_8:127207382-127219268	ENSG00000106462	NA	100507056	2146	CARLO5|CARLo-5|onco-lncRNA-40	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	H3K27 acetylation activated-long non-coding RNA CCAT1 affects cell proliferation and migration by regulating SPRY4 and HOXB13 expression in esophageal squamous cell carcinoma.Mechanistic investigations found that CCAT1 could serve as a scaffold for two distinct epigenetic modification complexes (5 domain of CCAT1 binding Polycomb Repressive Complex 2 (PRC2) while 3 domain of CCAT1 binding SUV39H1) and modulate the histone methylation of promoter of SPRY4 (sprouty RTK signaling antagonist 4) in nucleus.Further experiments revealed that CCAT1 knockdown significantly repressed the proliferation and migration both in vitro and in vivo.The existence of independent binding sites for EZH2 and SUV39H1 on CCAT1 suggests that CCAT1 may bridge EZH2 and SUV39H1. EZH2 IP retrieved SUV39H1, and SUV39H1 IP retrieved EZH2 in turn from Eca-109. Knockdown CCAT1 (ASO) of the IP abrogated the interaction between EZH2 and SUV39H1, suggesting that CCAT1 is required to bridge this interaction.	27956498	RID02730	interact with protein
Esophagus squamous cell carcinoma	CCAT1	SUV39H1	interact	RNA pull-down assay;ChIP	upregulation	qPCR	NA	NA	cell proliferation(+);cell migration(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Esophageal cancer	lncRNA	PCG	NA	GRCh38_8:127207382-127219268	ENSG00000101945	NA	100507056	6839	CARLO5|CARLo-5|onco-lncRNA-40	H3-K9-HMTase 1|KMT1A|MG44|SUV39H	H3K27 acetylation activated-long non-coding RNA CCAT1 affects cell proliferation and migration by regulating SPRY4 and HOXB13 expression in esophageal squamous cell carcinoma.Mechanistic investigations found that CCAT1 could serve as a scaffold for two distinct epigenetic modification complexes (5 domain of CCAT1 binding Polycomb Repressive Complex 2 (PRC2) while 3 domain of CCAT1 binding SUV39H1) and modulate the histone methylation of promoter of SPRY4 (sprouty RTK signaling antagonist 4) in nucleus.Further experiments revealed that CCAT1 knockdown significantly repressed the proliferation and migration both in vitro and in vivo.The existence of independent binding sites for EZH2 and SUV39H1 on CCAT1 suggests that CCAT1 may bridge EZH2 and SUV39H1. EZH2 IP retrieved SUV39H1, and SUV39H1 IP retrieved EZH2 in turn from Eca-109. Knockdown CCAT1 (ASO) of the IP abrogated the interaction between EZH2 and SUV39H1, suggesting that CCAT1 is required to bridge this interaction.	27956498	RID02731	interact with protein
Lung cancer	MEG3	JARID2	interact	ChIP;RIP	upregulation	qPCR	NA	NA	epithelial to mesenchymal transition(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Tissue Invasion and Metastasis	Cancer	Lung cancer	lncRNA	TF	ENSG00000214548	GRCh38_14:100779410-100861031	ENSG00000008083	NA	55384	3720	FP504|GTL2|LINC00023|NCRNA00023|PRO0518|PRO2160|onco-lncRNA-83|prebp1	JMJ	MEG3 Long Noncoding RNA Contributes to the Epigenetic Regulation of Epithelial-Mesenchymal Transition in Lung Cancer Cell Lines. The expression of MEG3 long noncoding RNA (lncRNA), which could interact with JARID2, was clearly increased during transforming growth factor-beta (TGF-beta)-induced EMT of human lung cancer cell lines. Chromatin immunoprecipitation (ChIP) revealed that MEG3 regulated the recruitment of JARID2 and EZH2 and histone H3 methylation on the regulatory regions of CDH1 and microRNA-200 family genes for transcriptional repression. After TGF-beta treatment, we could observe the significant increase of tri-methylated H3K27 (H3K27me3), the enhanced recruitment of EZH2, a catalytic subunit of PRC2, and the substantial decrease of transcriptionally active H3K4me3 marks on the regulatory regions of CDH1, miR-200b/200a/429, and miR-200c/141 genes in A549 and LC-2/ad cells (Fig. 4, A-C and E-G).	27852821	RID02732	interact with protein
Lung cancer	MEG3	EZH2	interact	ChIP;RIP	upregulation	qPCR	NA	NA	epithelial to mesenchymal transition(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Tissue Invasion and Metastasis	Cancer	Lung cancer	lncRNA	PCG	ENSG00000214548	GRCh38_14:100779410-100861031	ENSG00000106462	NA	55384	2146	FP504|GTL2|LINC00023|NCRNA00023|PRO0518|PRO2160|onco-lncRNA-83|prebp1	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	MEG3 Long Noncoding RNA Contributes to the Epigenetic Regulation of Epithelial-Mesenchymal Transition in Lung Cancer Cell Lines. The expression of MEG3 long noncoding RNA (lncRNA), which could interact with JARID2, was clearly increased during transforming growth factor-beta (TGF-beta)-induced EMT of human lung cancer cell lines. Chromatin immunoprecipitation (ChIP) revealed that MEG3 regulated the recruitment of JARID2 and EZH2 and histone H3 methylation on the regulatory regions of CDH1 and microRNA-200 family genes for transcriptional repression. After TGF-beta treatment, we could observe the significant increase of tri-methylated H3K27 (H3K27me3), the enhanced recruitment of EZH2, a catalytic subunit of PRC2, and the substantial decrease of transcriptionally active H3K4me3 marks on the regulatory regions of CDH1, miR-200b/200a/429, and miR-200c/141 genes in A549 and LC-2/ad cells (Fig. 4, A-C and E-G).	27852821	RID02733	interact with protein
Clear cell renal cell carcinoma	MRCCAT1	EZH2	interact	RIP;ChIP;RNA pull-down assay;western blot	upregulation	microarray	GSE88948	GSE88948.zip	cell metastasis(+);P38/MAPK signaling pathway(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Tissue Invasion and Metastasis;Evading Apoptosis;Insensitivity to Antigrowth Signals;Reprogramming Energy Metabolism;Self Sufficiency in Growth Signals;Sustained Angiogenesis	Cancer	Kidney cancer	lncRNA	PCG	ENST00000237853	GRCh38_5:95885098-95962071	ENSG00000106462	NA	NA	2146	NA	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	Long noncoding RNA MRCCAT1 promotes metastasis of clear cell renal cell carcinoma via inhibiting NPR3 and activating p38-MAPK signaling. The microarray analysis identified a novel lncRNA termed metastatic renal cell carcinoma-associated transcript 1 (MRCCAT1), which is highly expressed in metastatic ccRCC tissues and associated with the metastatic properties of ccRCC. Mechanistically, MRCCAT1 represses NPR3 transcription by recruiting PRC2 to NPR3 promoter, and subsequently activates p38-MAPK signaling pathway.To test this, we performed RIP assay with an antibody against EZH2 (an important subunit of the PRC2 complex), and found a significant enrichment of MRCCAT1 with EZH2, compared with IgG control.	28659173	RID02734	interact with protein
Non-small cell lung cancer	TUG1	EED	interact	ChIP;RIP	downregulation	qPCR	NA	NA	cell proliferation(-)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Lung cancer	lncRNA	PCG	ENSG00000253352	GRCh38_22:30969245-30979395	ENSG00000074266	NA	55000	8726	LINC00080|NCRNA00080|TI-227H	COGIS|HEED|WAIT1	Long noncoding RNA TUG1 is downregulated in non-small cell lung cancer and can regulate CELF1 on binding to PRC2. Knockdown of TUG1 significantly promoted the proliferation of NSCLC cells. The results demonstrated that TUG1 RNA was bound to enhancer of zeste protein 2/embryonic ectoderm development (EZH2/EED), which is essential for PRC2. Finally, our designed ChIP assay revealed that the EZH2/EED was bound to the promotor region of CELF1 within 992 bp upstream of the transcript start site.	27485439	RID02735	interact with protein
Gastric cancer	LINC00668	EZH2	interact	ChIP	upregulation	qPCR	NA	NA	cell proliferation(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Gastric cancer	lncRNA	PCG	ENSG00000265933	GRCh38_18:6919496-6929966	ENSG00000106462	NA	400643	2146	NA	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	E2F1-induced upregulation of long noncoding RNA LINC00668 predicts a poor prognosis of gastric cancer and promotes cell proliferation through epigenetically silencing of CKIs.Moreover, we also found that LINC00668 plays a key role in the gastric cancer cell cycle by epigenetically silencing CDK inhibitors by binding to PRC2, which could in part account for LINC00668-mediated cell growth regulation.RNA immunoprecipitation (RIP) assays showed that the endogenous LINC00668 was enriched in the anti-EZH2 RIP fraction relative to the input compared to the IgG fraction. Moreover, using an antibody specific to SUZ12, another member of the PRC2 complex, we also observed that LINC00668 was enriched in the anti-SUZ12 RNA-IP fraction.	27036039	RID02736	interact with protein
Gastric cancer	LINC00668	SUZ12	interact	ChIP	upregulation	qPCR	NA	NA	cell proliferation(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Gastric cancer	lncRNA	PCG	ENSG00000265933	GRCh38_18:6919496-6929966	ENSG00000178691	NA	400643	23512	NA	CHET9|JJAZ1	E2F1-induced upregulation of long noncoding RNA LINC00668 predicts a poor prognosis of gastric cancer and promotes cell proliferation through epigenetically silencing of CKIs.Moreover, we also found that LINC00668 plays a key role in the gastric cancer cell cycle by epigenetically silencing CDK inhibitors by binding to PRC2, which could in part account for LINC00668-mediated cell growth regulation.RNA immunoprecipitation (RIP) assays showed that the endogenous LINC00668 was enriched in the anti-EZH2 RIP fraction relative to the input compared to the IgG fraction. Moreover, using an antibody specific to SUZ12, another member of the PRC2 complex, we also observed that LINC00668 was enriched in the anti-SUZ12 RNA-IP fraction.	27036039	RID02737	interact with protein
Gastric cancer	TUG1	EZH2	interact	ChIP;RNA pull-down assay	upregulation	qPCR	NA	NA	cell proliferation(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Gastric cancer	lncRNA	PCG	ENSG00000253352	GRCh38_22:30969245-30979395	ENSG00000106462	NA	55000	2146	LINC00080|NCRNA00080|TI-227H	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	Increased expression of long noncoding RNA TUG1 predicts a poor prognosis of gastric cancer and regulates cell proliferation by epigenetically silencing of p57.In this study, we found that TUG1 is significantly increased and is correlated with outcomes in gastric cancer (GC). Mechanistic investigations showed that TUG1 has a key role in G0/G1 arrest. We further demonstrated that TUG1 was associated with PRC2 and that this association was required for epigenetic repression of cyclin-dependent protein kinase inhibitors, including p15, p16, p21, p27 and p57, thus contributing to the regulation of GC cell cycle and proliferation. endogenous TUG1 was enriched in the anti-EZH2 RIP fraction relative to the input compared with the IgG fraction both in AGS and BGC-823 cell lines. Moreover, using an antibody specific to SUZ12, another member of the PRC2 complex, we also observed that endogenous TUG1 was obviously enriched in the anti-SUZ12 RNA-IP fraction.	26913601	RID02738	interact with protein
Gastric cancer	TUG1	SUZ12	interact	ChIP;RNA pull-down assay	upregulation	qPCR	NA	NA	cell proliferation(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Gastric cancer	lncRNA	PCG	ENSG00000253352	GRCh38_22:30969245-30979395	ENSG00000178691	NA	55000	23512	LINC00080|NCRNA00080|TI-227H	CHET9|JJAZ1	Increased expression of long noncoding RNA TUG1 predicts a poor prognosis of gastric cancer and regulates cell proliferation by epigenetically silencing of p57.In this study, we found that TUG1 is significantly increased and is correlated with outcomes in gastric cancer (GC). Mechanistic investigations showed that TUG1 has a key role in G0/G1 arrest. We further demonstrated that TUG1 was associated with PRC2 and that this association was required for epigenetic repression of cyclin-dependent protein kinase inhibitors, including p15, p16, p21, p27 and p57, thus contributing to the regulation of GC cell cycle and proliferation. endogenous TUG1 was enriched in the anti-EZH2 RIP fraction relative to the input compared with the IgG fraction both in AGS and BGC-823 cell lines. Moreover, using an antibody specific to SUZ12, another member of the PRC2 complex, we also observed that endogenous TUG1 was obviously enriched in the anti-SUZ12 RNA-IP fraction.	26913601	RID02739	interact with protein
Hepatocellular carcinoma	CDKN2B-AS1	EZH2	interact	RNAi;RIP	upregulation	qPCR;microarray	GSE45435;GSE56140	GSE45435.zip;GSE56140.zip	cell proliferation(+);apoptosis process(-)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals;Evading Apoptosis	Cancer	Liver cancer	lncRNA	PCG	ENSG00000240498	GRCh38_9:21994139-22128103	ENSG00000106462	NA	100048912	2146	ANRIL|CDKN2B-AS|CDKN2BAS|NCRNA00089|PCAT12|p15AS	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	Long non-coding RNA ANRIL is upregulated in hepatocellular carcinoma and regulates cell proliferation by epigenetic silencing of KLF2.We also found that ANRIL could epigenetically repress KLF2 transcription in HCC cells by binding with PRC2 and recruiting it to KLF2 promoter region. We also found that Sp1 could regulate the expression of ANRIL.Long non-coding RNA ANRIL is upregulated in hepatocellular carcinoma and regulates cell apoptosis by epigenetic silencing of KLF2. ANRIL expression was upregulated in HCC tissues, and the higher expression of ANRIL was significantly correlated with tumor size and Barcelona Clinic Liver Cancer (BCLC) stage. We also found that ANRIL could epigenetically repress Kruppel-like factor 2 (KLF2) transcription in HCC cells by binding with PRC2 and recruiting it to the KLF2 promoter region.We also found that SP1 could regulate the expression of ANRIL.	27391317;25966845	RID02740	interact with protein
Hepatocellular carcinoma	CDKN2B-AS1	SUZ12	interact	RNAi;RIP	upregulation	qPCR;microarray	GSE45435;GSE56140	GSE45435.zip;GSE56140.zip	cell proliferation(+);apoptosis process(-)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals;Evading Apoptosis	Cancer	Liver cancer	lncRNA	PCG	ENSG00000240498	GRCh38_9:21994139-22128103	ENSG00000178691	NA	100048912	23512	ANRIL|CDKN2B-AS|CDKN2BAS|NCRNA00089|PCAT12|p15AS	CHET9|JJAZ1	Long non-coding RNA ANRIL is upregulated in hepatocellular carcinoma and regulates cell proliferation by epigenetic silencing of KLF2.We also found that ANRIL could epigenetically repress KLF2 transcription in HCC cells by binding with PRC2 and recruiting it to KLF2 promoter region. We also found that Sp1 could regulate the expression of ANRIL.Long non-coding RNA ANRIL is upregulated in hepatocellular carcinoma and regulates cell apoptosis by epigenetic silencing of KLF2. ANRIL expression was upregulated in HCC tissues, and the higher expression of ANRIL was significantly correlated with tumor size and Barcelona Clinic Liver Cancer (BCLC) stage. We also found that ANRIL could epigenetically repress Kruppel-like factor 2 (KLF2) transcription in HCC cells by binding with PRC2 and recruiting it to the KLF2 promoter region.We also found that SP1 could regulate the expression of ANRIL.	27391317;25966845	RID02741	interact with protein
Cancer	RASSF1-AS1	SUZ12	interact	ChIP;RIP	upregulation	qPCR;microarray	GSE5823;GSE11118;GSE10879;GSE12056;GSE13471	GSE5823.zip;GSE11118.zip;GSE10879.zip;GSE12056.zip;GSE13471.zip	cell proliferation(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Cancer	lncRNA	PCG	ENSG00000281358	GRCh38_3:50337511-50338300	ENSG00000178691	NA	102060282	23512	ANRASSF1	CHET9|JJAZ1	The intronic long noncoding RNA ANRASSF1 recruits PRC2 to the RASSF1A promoter, reducing the expression of RASSF1A and increasing cell proliferation.ANRASSF1 endogenous expression is higher in breast and prostate tumor cell lines compared with non-tumor, and an opposite pattern is observed for RASSF1A. ANRASSF1 ectopic overexpression reduces RASSF1A abundance and increases the proliferation of HeLa cells, whereas ANRASSF1 silencing causes the opposite effects. ANRASSF1 overexpression causes a marked increase in both PRC2 occupancy and histone H3K27me3 repressive marks, specifically at the RASSF1A promoter region.We demonstrated that ANRASSF1 formed an lncRNA/DNA hybrid, which mediated the recruitment of SUZ12, a member of PRC2, to the RASSF1A promoter.	23990798	RID02742	interact with protein
Gastric cancer	HOXA-AS2	EZH2	interact	RIP;RNAi	upregulation	qPCR;microarray	GSE15459	GSE15459.zip	cell proliferation(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Gastric cancer	lncRNA	PCG	ENSG00000253552	GRCh38_7:27107777-27134302	ENSG00000106462	NA	285943	2146	HOXA3as	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	Long noncoding RNA HOXA-AS2 promotes gastric cancer proliferation by epigenetically silencing P21/PLK3/DDIT3 expression.Furthermore, HOXA-AS2 could epigenetically repress the expression of P21, PLK3, and DDIT3 via binding with EZH2 (enhaner of zeste homolog 2), a key component of PRC2; ChIP assays demonstrated that EZH2 could directly bind to the promoter of P21, PLK3 and DDIT3, inducing H3K27 trimethylated.	26384350	RID02743	interact with protein
Non-small cell lung cancer	LINC00511	EZH2	interact	RIP	upregulation	qPCR	NA	NA	oncogenic role(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	NA	Cancer	Lung cancer	lncRNA	PCG	ENSG00000227036	GRCh38_17:72290091-72640472	ENSG00000106462	NA	400619	2146	LCAL5|onco-lncRNA-12	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	Long Intergenic Noncoding RNA 00511 Acts as an Oncogene in Non-small-cell Lung Cancer by Binding to EZH2 and Suppressing p57. We found LINC00511 was upregulated and associated with oncogenesis, tumor size, metastasis, and poor prognosis in NSCLC. LINC00511 affected cell proliferation, invasiveness, metastasis, and apoptosis in multiple NSCLC cell lines. Mechanistically, LINC00511 bound histone methyltransferase enhancer of zeste homolog 2 (EZH2, the catalytic subunit of the polycomb repressive complex 2 (PRC2), a highly conserved protein complex that regulates gene expression by methylating lysine 27 on histone H3), and acted as a modular scaffold of EZH2/PRC2 complexes, coordinated their localization, and specified the histone modification pattern on the target genes, including p57, and consequently altered NSCLC cell biology.	27845772	RID02744	interact with protein
Breast cancer	NBAT1	EZH2	interact	RIP;RNAi	downregulation	qPCR	NA	NA	cell metastasis(-)	interact with protein	binding/interaction	RNA-protein	NA	NA	Tissue Invasion and Metastasis	Cancer	Breast cancer	lncRNA	PCG	ENSG00000260455	GRCh38_6:22133205-22147193	ENSG00000106462	NA	729177	2146	CASC14|NBAT-1	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	NBAT1 suppresses breast cancer metastasis by regulating DKK1 via PRC2. ectopic NBAT1 inhibits migration and invasion of breast cancer cells. Mechanistic study shows that NBAT1 is associated with PRC2 member EZH2 and regulates global gene expression profile. Among them, DKK1 (dickkopf WNT signaling pathway inhibitor 1) is found to be regulated by NBAT1 in a PRC2 dependent manner, and is responsible for NBAT1's effects in inhibiting migration and invasion of breast cancer cells.	26378045	RID02745	interact with protein
